Year;Canton;GDP;Total expenditure;General administration;Executive and legislative organs;General services;Public order and security, defense;Public security;Administration of justice;Prison system;General legal issues;Fire protection services;Defense;Education;Obligatory schooling;Special schools;Basic vocational training;General education schools;Post-secondary vocational education;Tertiary-level institutions;Research;Other education;Culture, sport and leisure, church;Cultural heritage;Other culture;Media;Sporting and recreational services;Churches and religious services;Health;Hospital, convalescent and nursing home services;Outpatient care;Preventive healthcare;R&D health;Health n.e.c.;Social security;Sickness and accident;Disability;Old age and survivors;Family and young people;Unemployment;Subsidized housing;Social welfare and asylum affairs;R&D social welfare;Social welfare n.e.c.;Transportation and telecommunications;Road transportation;Public transportation;Other transportation;Telecommunications;Protection of the environment and spatial planning;Water supply;Sewage disposal;Waste management;Control structures;Protection of biodiversity and landscape;Anti-pollution;Other environmental protection;Spatial planning;National economy;Agriculture;Forestry;Hunting and fishing;Tourism;Industry, commerce and trade;Banks and insurance companies;Fuel and energy;Other commercial operations;Finances and taxes;Taxes;Tax agreements;Fiscal equalization and cost compensation;Other revenue shares without appropriation;Asset and debt management
1991;Schaffhausen;0;413744;22273;2055;20218;37708;14861;6356;2661;8221;50;5559;77218;29511;3724;21022;15134;1651;4394;0;1781;7732;1992;1567;0;1008;3165;124301;118626;379;4687;0;609;46578;1072;11691;23477;301;1324;201;8458;0;53;65116;62578;2509;29;0;3401;0;832;55;1520;81;0;133;780;15417;9916;4724;116;178;236;0;248;0;14000;709;0;1326;779;11185
1992;Schaffhausen;0;440179;22000;2322;19677;39956;15838;6566;3304;9302;74;4872;86923;32460;5171;23485;16796;1887;5061;0;2064;7767;2548;909;0;971;3339;131976;125897;587;4852;0;640;54341;2082;14589;23855;299;1890;225;11351;0;50;62570;59538;3009;22;0;3203;0;386;111;1252;497;0;272;685;15438;10081;4421;114;214;277;0;332;0;16005;728;0;1330;763;13185
1993;Schaffhausen;0;499053;30618;2129;28489;38899;15259;6880;3066;8663;136;4895;89940;30202;11286;23290;16824;1759;4633;0;1946;6849;1573;938;0;860;3478;131326;121737;868;8070;0;651;77808;807;18644;25390;292;22131;207;10254;0;83;81247;78294;2932;21;0;4379;0;960;515;1302;896;0;157;549;20130;14559;4579;216;219;254;0;303;0;17856;673;0;1140;685;15359
1994;Schaffhausen;0;481140;26714;2112;24602;38557;14422;7471;3296;9441;55;3872;89549;31152;8351;21791;19297;1581;5264;0;2114;7347;1589;992;0;1252;3514;128926;121683;1087;5523;0;633;71607;554;19012;26391;296;14824;249;10212;0;69;70725;67585;3120;21;0;4008;0;1705;70;706;893;0;113;521;24563;17896;4079;189;221;162;0;2016;0;19143;970;0;1200;692;16281
1995;Schaffhausen;0;481738;25687;2164;23523;39273;14953;7641;3414;9143;43;4079;95048;32299;7926;24379;21244;1912;5036;0;2252;6977;1488;949;4;1004;3532;128978;121882;1124;5367;0;605;73363;5403;20795;27249;253;5649;109;13832;0;73;63628;60389;3216;23;0;3916;0;1391;123;782;1090;0;25;505;25861;19218;3886;180;221;432;0;1923;0;19007;867;0;1200;668;16272
1996;Schaffhausen;0;508304;26967;2246;24721;42841;16027;8241;4847;9927;62;3737;96955;33558;9432;24612;18748;2513;5326;0;2766;6902;1215;835;0;1250;3602;138916;130170;1146;6920;0;680;86136;13401;20547;22522;225;15235;105;14026;0;76;57083;51961;5063;59;0;3714;0;1586;34;930;549;0;76;539;29792;24396;3967;199;227;236;0;767;0;18997;1134;0;1200;591;16072
1997;Schaffhausen;0;508134;26173;2335;23838;45201;16890;9004;5709;10142;61;3395;101071;36582;8884;25245;19613;2360;5283;0;3103;6729;1194;833;0;1075;3626;142049;133428;1241;6618;0;763;98456;17605;19133;24780;257;24949;112;11544;0;76;33409;29320;4063;25;0;3864;0;1268;245;840;818;0;140;553;31319;26670;3959;190;225;0;0;275;0;19864;1966;0;1724;652;15523
1998;Schaffhausen;0;507500;26162;2578;23584;45719;17005;8716;5525;11089;233;3151;102223;33004;11166;25324;21934;2974;4712;0;3109;6898;1436;853;0;969;3640;144237;135569;1194;6509;0;965;99147;23300;19368;22835;391;21381;102;11684;0;84;29309;25108;4173;28;0;3369;0;776;154;797;793;0;112;737;31126;26451;3995;193;228;0;0;258;0;19311;1981;0;1200;769;15361
1999;Schaffhausen;0;498359;25896;2573;23324;45400;16384;9505;5293;11301;25;2893;104927;33693;9476;25715;24089;3164;5556;0;3234;7341;1371;1253;0;1080;3637;144820;135518;1204;7179;0;919;92412;21342;19200;30852;304;5505;116;15008;0;84;26210;21915;4258;37;0;3582;0;906;150;1006;809;0;102;609;30118;25678;3763;227;227;0;0;223;0;17653;907;0;1200;488;15058
2000;Schaffhausen;0;498313;26907;2686;24221;43698;16733;9149;4647;10193;139;2836;106169;36761;8222;25381;22194;1728;8655;0;3228;7783;1683;1495;0;919;3686;148036;137908;1155;8181;0;791;88492;24776;20058;27120;260;3506;216;12454;0;102;20049;15384;4637;29;0;3592;0;552;117;1068;1084;0;86;685;35395;28393;4252;207;38;2206;0;299;0;18192;1804;0;1277;606;14505
2001;Schaffhausen;0;539655;29126;2625;26501;52706;26429;8914;3663;11063;10;2628;107822;35366;9908;26812;20885;1937;8748;0;4167;7658;1435;1491;27;950;3756;172901;166067;1331;4452;0;1050;87885;21754;22642;30289;201;2479;48;10372;0;101;22578;16261;6301;16;0;5054;0;55;142;1031;820;0;2400;607;37503;31175;3965;227;35;1619;0;483;0;16420;1285;0;1220;436;13479
2002;Schaffhausen;0;566231;31529;2618;28911;54087;26001;9342;4581;11727;40;2397;110598;35568;8581;28107;21167;2000;10302;0;4874;7437;1298;1304;4;1065;3766;179903;172971;1409;4438;0;1085;98292;29116;23743;31506;282;2975;6;10528;0;136;22374;15585;6768;21;0;6259;0;1000;117;1036;512;0;2428;1165;40438;32267;4048;255;43;3434;0;392;0;15314;1215;0;1200;384;12514
2003;Schaffhausen;0;595640;32095;2459;29637;60245;27175;10926;6065;12617;618;2843;118854;35562;9316;28756;25645;1644;12609;0;5322;7610;1107;1437;7;1257;3801;170470;163634;1400;4439;0;996;104581;29261;25524;34043;310;3832;5;11467;0;139;37456;30172;7252;32;0;7148;0;1463;129;1202;633;0;2533;1189;40487;33102;3726;260;36;2821;0;542;0;16693;1242;0;3556;1178;10718
2004;Schaffhausen;0;614299;31738;2431;29307;62968;28315;10547;6571;13212;230;4093;123360;35289;11041;28672;26265;1129;15732;0;5232;7897;1261;1254;5;1554;3822;173773;166879;1431;4444;0;1019;114259;31867;27968;35202;276;7450;3;11285;0;208;32070;24605;7446;20;0;6465;0;811;110;1160;582;0;2473;1328;43902;33884;3291;255;45;5825;0;602;0;17867;2496;0;3703;1239;10430
2005;Schaffhausen;0;608431;31347;2470;28878;70611;27768;11182;6356;13946;7241;4117;127036;35635;14169;29023;24885;1121;16897;0;5305;7731;1200;1292;17;1345;3879;169392;162304;1562;4545;0;981;112501;33273;27217;32498;245;8027;1;11052;0;189;22915;16843;6052;21;0;7217;0;1397;124;1357;499;0;2525;1316;41708;33785;3360;231;39;3143;0;1150;0;17971;2515;0;3652;1551;10253
2006;Schaffhausen;0;647830;35912;2524;33388;71333;28994;10912;6944;14202;6240;4042;128972;38363;13948;29870;21555;1239;18247;0;5750;8191;1439;1400;12;1424;3917;184233;176909;1385;4996;0;944;119550;34803;30226;36288;327;7223;1;10532;0;150;37076;29340;7714;21;0;5773;0;645;120;906;580;0;2201;1322;41593;33920;3074;208;36;3848;0;507;0;15197;2475;0;3325;1653;7745
2007;Schaffhausen;0;672823;38617;2574;36043;80172;35971;12299;7264;14579;5912;4147;130086;37942;14223;31896;20032;1240;19150;0;5604;8161;1364;1525;33;1304;3935;182738;175425;1350;5006;0;956;126951;36908;37328;34960;195;7062;1;10361;0;135;40234;31034;9185;15;0;6020;0;423;148;988;689;0;2345;1428;43393;34871;3645;201;45;3522;0;1109;0;16450;3971;0;3872;1534;7072
2008;Schaffhausen;6355000;590169;37698;2863;34835;78376;35255;11470;7360;14319;6349;3622;143169;62216;0;35586;22863;2224;18788;0;1492;9633;1616;2067;90;1855;4005;91368;80040;2395;7988;0;945;124333;36982;40174;19685;495;9913;0;16914;0;170;37669;25742;11912;15;0;3078;0;0;147;1073;393;84;85;1296;45017;35652;3312;219;51;4636;0;1148;0;19829;2618;0;6431;4344;6435
2009;Schaffhausen;6203000;615413;42230;2831;39399;78744;33155;11902;7474;15510;6870;3833;149165;68380;0;36495;20210;3106;19336;0;1637;9090;1582;2102;100;1242;4064;91959;82454;625;7891;0;989;133025;37233;39801;25763;958;10917;0;18207;0;145;31965;17535;14383;47;0;4385;0;0;152;1276;592;45;123;2197;54426;38511;3357;199;588;8514;0;3257;0;20425;2923;0;5919;4383;7199
2010;Schaffhausen;6724000;638475;42158;2764;39394;80371;33662;11506;8164;15946;7309;3784;153188;48069;21353;36105;22023;2935;20937;0;1766;12747;2622;1782;0;4279;4064;95767;86645;684;7469;0;969;141628;42592;40161;25669;999;12141;0;19916;0;150;34884;19505;15363;17;0;4234;0;0;139;1582;421;0;79;2012;54152;38668;3396;206;541;5307;0;6034;0;19345;4647;0;5946;4311;4442
2011;Schaffhausen;6840000;669758;42765;2782;39983;81333;34231;13676;8351;15789;5764;3522;156240;46682;22313;36638;23637;2529;22667;0;1775;10497;2927;1927;30;1539;4075;92465;83511;667;7215;0;1071;158341;50285;42950;30767;964;12446;0;20759;0;170;51272;32404;18868;0;0;5903;0;0;128;2041;370;1504;62;1798;55304;39239;3407;141;589;6649;0;5280;0;15638;2355;0;5729;4514;3040
2012;Schaffhausen;6917000;674478;41165;2851;38314;80629;34836;12582;8583;14751;6287;3591;153229;47139;22197;36258;20227;2478;23354;0;1576;9798;2157;2009;15;1564;4054;100624;92010;242;7290;0;1081;153784;43348;44120;31056;1332;10459;0;23298;0;170;54293;25356;28937;0;0;4437;0;0;139;1600;492;518;35;1653;60997;39658;3191;184;553;7968;0;9443;0;15522;1923;0;5627;4347;3627
2013;Schaffhausen;7029000;675948;45661;2839;42797;83739;36217;13192;7556;15983;6770;4020;150131;44241;22629;35503;19960;2449;23887;0;1463;11561;4287;1809;15;1413;4036;104995;96362;215;7432;0;986;150993;40393;44095;31003;1250;10381;0;23701;0;170;52708;23919;28788;0;0;6384;0;0;123;1704;506;2187;35;1828;52594;39338;3135;172;544;6161;0;3243;0;17185;2392;0;8377;4512;1904
2014;Schaffhausen;6990000;691265;41824;2802;38997;86815;36771;14728;8332;15385;7262;4336;152046;44915;22603;35289;19622;2374;25630;0;1614;14111;7070;1487;21;1493;4040;108999;100115;228;7664;0;993;159884;42744;44116;33534;1297;11216;0;26818;0;160;51463;17485;33978;0;0;6754;0;0;160;1638;462;2895;34;1564;50720;38753;3178;140;485;5525;0;2639;0;18648;1866;0;10433;4616;1733
2015;Schaffhausen;7031000;675988;41157;2763;38369;83930;35938;14099;9024;14535;6286;4048;151825;46696;22179;34408;19044;2533;25424;0;1541;9803;3066;1475;50;1511;3700;108791;100203;227;7309;0;1052;169184;46989;44421;34074;1236;11739;0;30555;0;170;40808;13943;26865;0;0;5572;0;0;180;2134;482;1209;36;1531;49540;38231;3740;170;567;5016;0;1818;0;15377;721;0;7980;4725;1950
2016;Schaffhausen;7201000;696098;43165;2829;40311;83729;36634;14284;10036;14491;4540;3743;151884;48052;21708;33355;18670;2694;25840;0;1566;10422;3295;1653;50;1775;3648;122848;113876;216;7817;0;939;179642;50865;44338;35805;1418;13350;0;33706;0;160;36831;15974;20856;0;0;5949;0;0;201;1606;491;1944;38;1669;47492;39015;2958;166;332;5020;0;0;0;14137;2006;0;5715;4684;1732
2017;Schaffhausen;7179000;690801;41379;2700;38654;84601;34846;17269;10487;14894;3821;3284;151024;44214;22195;34252;20254;2567;25974;0;1567;10057;2815;1672;50;1883;3637;105128;96325;271;7456;0;1077;188201;56290;44711;37044;1424;13739;0;34823;0;170;40543;20413;20130;0;0;5444;0;0;199;1768;422;1403;33;1620;49040;38856;3306;180;315;6069;0;313;0;15384;2346;0;6460;4700;1878
2018;Schaffhausen;7458000;702605;40235;2715;37495;87950;39858;16194;10991;14738;3184;2986;149030;43960;21990;33440;17374;4698;25391;0;2176;9537;2858;1123;0;1876;3680;114603;102665;4787;5431;0;1720;180184;58542;44923;24994;3854;11722;0;35935;0;214;38116;19088;19027;0;0;7643;0;0;36;1684;1018;1393;2255;1251;61279;38654;3056;338;850;6975;10000;1256;150;14029;2152;0;4007;4187;3684
2019;Schaffhausen;7583000;713307;40273;2913;37335;83351;36429;16030;10373;14893;2654;2973;151970;44539;21846;34887;18028;4661;25736;0;2271;8226;2022;786;0;1706;3711;122498;110226;5143;5394;0;1734;185110;58964;45337;26289;4000;11484;0;38819;0;217;41751;19874;21877;0;0;8395;0;0;36;2196;1234;1430;2355;1137;57103;39667;4034;344;787;4730;5000;2300;241;14630;2618;0;3548;4354;4110
2020;Schaffhausen;0;779741;46482;2925;43532;91866;39735;16264;10160;16013;6315;3379;156207;47047;22279;34704;18107;5160;26621;0;2289;13722;4276;3566;0;2183;3698;137654;124144;5049;6586;0;1875;189196;57039;47383;26344;4784;10891;0;42537;0;218;40943;21139;19805;0;0;7436;0;0;39;2256;1208;125;2490;1309;74252;39492;4277;347;579;9704;15000;4852;0;21983;1893;0;3535;11874;4681
1990;Schwyz;0;434103;17119;1573;15546;36563;17376;2636;824;3448;2531;9749;98930;30424;5268;30089;19692;1852;9495;0;2110;5803;2954;1314;12;1505;19;16169;12308;564;3160;0;137;46146;242;9850;23557;1760;916;2910;6910;0;0;46415;35097;11318;0;0;12446;15;4002;232;5691;393;0;1360;753;107469;63134;23350;761;177;18;20000;29;0;47043;0;661;8557;25573;12253
1991;Schwyz;0;453436;18201;1588;16614;41967;21905;2899;860;3577;2795;9931;102348;32847;7615;24767;21225;2738;10668;0;2489;7457;3546;2072;0;1820;19;16042;11889;615;3379;0;160;51212;233;10715;23231;2295;1038;3294;10161;0;244;50617;36715;13902;0;0;14675;8;5229;251;6165;482;0;1627;914;102376;77083;24093;847;270;51;0;31;0;48541;0;133;10009;25280;13119
1992;Schwyz;0;509933;21650;1733;19917;46451;22431;3336;1049;4258;3621;11757;121069;44791;6759;26679;24442;3054;12606;0;2737;6593;3567;1090;0;1917;19;18528;14208;747;3276;0;297;53435;422;13778;23180;1517;1263;3286;9989;0;0;73973;60628;13314;30;0;15984;10;5881;0;6459;900;0;1834;900;105657;70390;23850;968;288;119;10000;41;0;46595;0;1754;11182;20676;12982
1993;Schwyz;0;538451;21717;1714;20003;44027;22415;3962;1075;4211;2398;9966;141906;45105;7804;43402;26416;3136;13399;0;2645;6781;3618;1452;0;1691;20;13323;10803;839;1353;0;329;71667;560;15447;25677;1426;13025;3447;12085;0;0;62894;45263;17604;26;0;14543;12;4112;81;6215;652;0;1997;1475;110977;76823;23171;952;0;1;10000;30;0;50616;0;812;13698;21020;15086
1994;Schwyz;0;523365;22738;1717;21021;44348;22734;3884;1079;4721;2253;9678;125873;44330;7930;25382;26918;3292;15051;0;2972;6909;3827;1431;0;1636;15;12143;9401;1006;1399;0;337;73789;667;19399;27081;1493;9647;3678;11824;0;0;60214;43415;16792;7;0;13542;3;4694;129;4136;723;0;2151;1707;107319;77710;18597;962;0;1;10000;48;0;56490;0;3074;10860;26818;15738
1995;Schwyz;0;515292;23564;1725;21838;46826;24215;4532;1338;4926;2488;9326;131248;46479;8175;26849;28843;3078;14945;0;2880;6431;3409;1350;0;1658;15;13683;10674;1162;1495;0;351;71412;6320;16841;27427;1734;2228;4135;12728;0;0;64953;47463;16959;530;0;13266;20;3519;109;5022;690;0;1977;1928;91185;66374;13825;972;0;0;10000;14;0;52725;0;1863;10394;23289;17178
1996;Schwyz;0;565051;24742;1735;23007;47034;23842;4983;1689;4479;2570;9471;131699;43631;9014;29738;27926;3598;14944;0;2847;6478;3490;1472;0;1502;15;20485;17804;886;1462;0;333;102302;25766;17762;24633;1636;15056;3934;13514;0;0;70159;52869;17142;147;0;15084;20;4914;2304;2965;739;0;2056;2086;95432;78995;15363;1063;0;1;0;10;0;51638;0;2747;10025;21643;17223
1997;Schwyz;0;624285;25517;1762;23756;52477;29715;5266;1653;5038;2420;8385;152716;47082;9434;32042;41205;4462;15125;0;3366;6444;3178;1505;0;1746;15;28736;26643;374;1448;0;271;118906;21839;21937;26584;2127;27198;4336;14885;0;0;69427;52395;16892;139;0;18095;19;6309;2944;3829;859;0;2027;2107;97630;80355;16166;1094;0;1;0;14;0;54335;0;2426;9446;27399;15065
1998;Schwyz;0;636818;27618;1816;25802;51575;29533;5555;1764;5046;2425;7251;150427;48923;9778;33094;24782;22613;7727;0;3510;6994;3301;1522;0;2156;15;38366;35334;354;2381;0;296;125007;22913;24506;28802;1473;26930;4490;15894;0;0;70312;58759;11553;0;0;17857;18;5899;3246;3015;1166;0;2086;2428;92630;77264;13941;1095;0;326;0;5;0;56032;0;2178;9323;28905;15625
1999;Schwyz;0;640801;28495;2003;26492;51856;30950;5623;1800;4682;2080;6721;154460;49414;10796;32983;35514;11766;10113;0;3875;7678;3327;2224;0;2127;0;34549;31382;319;2558;0;290;120576;28310;25182;34071;1622;6354;4110;20926;0;0;68675;55281;13394;0;0;18912;20;7655;2725;2788;1025;0;2343;2357;97756;80940;15567;1097;0;144;0;9;0;57843;0;3376;12706;25638;16123
2000;Schwyz;0;696022;30966;2050;28917;53795;32908;5985;1681;4972;2236;6011;164520;59878;12358;33794;32932;5821;16325;0;3413;7733;3201;2464;0;2068;0;50761;47418;321;2737;0;284;120447;27487;28025;34989;1616;5446;3523;19361;0;0;73560;58449;15111;0;0;19363;20;7621;2916;2580;1263;0;2247;2718;108620;83307;24096;1046;0;145;0;26;0;66257;0;3530;16338;31282;15107
2001;Schwyz;0;698160;36633;2009;34624;57253;35205;6227;1813;5614;2654;5740;163596;50514;13786;35820;33417;5604;20921;0;3533;8807;4077;2730;0;1999;0;47316;42751;284;3941;0;340;127415;28445;34644;39446;1659;4670;3530;15022;0;0;80798;63766;17032;0;0;15838;20;6364;1532;997;1600;0;2675;2652;98612;80864;16326;1242;0;153;0;27;0;61891;0;4889;12904;30819;13279
2002;Schwyz;0;817739;37582;2113;35469;59657;36496;7261;1604;5822;2778;5696;147907;30705;14515;32679;39673;2668;23844;0;3823;9002;4282;2937;0;1782;0;65681;61036;276;4155;0;214;147233;43521;36195;40608;2487;4596;3505;16321;0;0;80618;65967;14651;0;0;14615;7;4521;584;2327;1610;0;2561;3006;103630;83740;18461;1205;0;160;0;64;0;151816;0;21878;60796;55705;13437
2003;Schwyz;0;813204;33423;1998;31425;61182;37536;7545;1686;6385;2896;5135;162081;32339;18090;33679;41338;2602;29986;0;4047;9339;4490;2677;0;2171;0;64371;60658;353;2988;0;372;170968;51399;43379;45711;2634;5780;3656;18409;0;0;89217;72507;16711;0;0;13326;77;1802;195;1113;4289;0;2712;3139;104707;84185;19131;1202;0;155;0;35;0;104590;0;4593;67801;21797;10398
2004;Schwyz;0;880119;35705;2022;33683;72298;46252;7807;2517;7547;2895;5281;160618;34044;18377;31941;39171;2964;29621;0;4501;12424;4662;2190;0;5572;0;107445;103685;382;2661;0;717;171824;51784;43784;46306;2460;6071;3091;18328;0;0;88832;70669;18163;0;0;12537;57;1024;60;2262;3266;0;2520;3349;100158;84295;14493;1147;0;169;0;55;0;118277;0;5028;69498;31420;12331
2005;Schwyz;0;862819;38282;1991;36291;81432;54101;8251;2663;8619;2805;4993;172133;35392;20784;31752;37199;3223;39657;0;4125;9991;4405;3464;0;2122;0;107088;104241;268;1410;0;1169;167943;40775;49444;50268;2308;7007;3779;14361;0;0;79978;57087;22892;0;0;9837;37;833;130;1456;1306;0;2590;3485;98797;83679;13626;1099;0;337;0;55;0;97338;0;5282;62781;20052;9222
2006;Schwyz;0;888757;41249;2119;39130;81373;52799;8285;3317;8011;3811;5151;178609;33090;21395;34530;35148;3006;47390;0;4048;10782;4504;3241;0;3037;0;107585;104407;265;1826;0;1087;167660;43562;46303;51618;2436;7397;2438;13907;0;0;74324;50977;23347;0;0;12608;14;1274;89;3510;1922;0;2535;3264;105952;89738;14624;1232;0;329;0;28;0;108616;0;7807;61615;30847;8347
2007;Schwyz;0;898308;47343;2475;44869;81945;48430;8472;4003;8171;7945;4925;175851;39529;25030;38011;32567;492;36294;0;3928;11416;4096;4679;0;2641;0;104798;101524;354;1968;0;952;174120;45029;52912;51322;2247;7025;2198;13386;0;0;74048;52267;21780;0;0;15518;13;1818;1066;4622;1792;0;2681;3525;103594;91543;10571;1229;0;206;0;45;0;109673;0;5746;61257;34046;8624
2008;Schwyz;8347000;933850;49005;2402;46603;83572;48616;8463;4695;11388;4930;5479;194567;31394;37356;45152;35974;3407;34942;0;6343;10702;4412;3523;0;2764;4;99437;95768;273;2412;0;985;147732;39971;58217;31405;2468;6205;1693;7773;0;0;107843;78384;29416;43;0;19682;62;1187;100;10946;1522;0;2884;2981;96115;87167;5577;1603;0;1708;0;60;0;125195;0;0;117061;1669;6464
2009;Schwyz;8446000;995996;61816;2515;59302;85991;50142;6643;7322;12282;5235;4367;217252;28240;34471;54545;46990;3603;36619;0;12784;13662;7670;2726;0;3262;4;106766;102713;1;2918;0;1134;151864;41480;56035;35370;1887;6597;852;9644;0;0;101056;66348;34665;44;0;23842;0;2613;118;12604;2646;0;3027;2835;103555;91796;5255;1662;0;2710;2000;132;0;130191;0;0;122656;1542;5993
2010;Schwyz;8612000;1053754;66527;2535;63991;90922;55035;6907;7850;12435;3869;4826;235319;30276;35398;71368;43581;3478;38630;0;12588;11906;4022;4540;0;3341;4;108728;105391;0;2071;0;1266;158327;49509;53763;35422;2014;7221;259;10139;0;0;100397;64369;35981;46;0;26717;0;1506;0;15843;3089;476;3016;2787;106467;93567;5617;1712;0;4176;0;1397;-2;148444;0;0;141584;1366;5493
2011;Schwyz;8598000;1103540;62011;2385;59626;101840;62298;10221;5696;12180;5330;6115;214078;30802;36225;51533;40208;3114;40424;0;11772;11694;2446;5945;0;3300;3;121639;118353;1;2119;0;1167;173435;55422;52398;44287;1931;7199;272;11927;0;0;106721;55897;50775;49;0;28123;0;1312;0;13251;2500;5398;3030;2632;105468;93424;5196;1698;0;3857;0;1294;0;178530;0;0;170471;1625;6435
2012;Schwyz;8706000;1151882;67699;2520;65178;99505;62261;10674;6599;9989;4482;5500;207086;31804;35261;48378;36267;3418;40273;0;11686;13275;5259;5250;0;2745;20;132965;129504;0;2344;0;1118;180564;57678;54153;46238;2141;6829;246;13279;0;0;115459;75859;39542;57;0;29722;0;1232;235;15153;2843;4268;3236;2756;106213;92166;5002;1821;0;5326;0;1896;0;199395;0;0;192989;1242;5163
2013;Schwyz;9006000;1186514;68801;2482;66319;99599;55090;10572;6861;15818;4894;6366;211648;31812;35504;52743;36123;3171;40539;0;11756;12359;4593;4980;0;2757;29;137069;130808;447;2492;0;3321;184197;60007;55699;45127;2214;6688;212;14250;0;0;117056;72398;44601;58;0;28153;0;1118;0;15921;2887;2353;3248;2626;102360;88847;5147;1796;0;5113;0;1457;0;225272;0;0;218011;2045;5217
2014;Schwyz;9084000;1281748;109142;2335;106806;99008;54097;10105;7143;18350;4328;4984;211121;30785;32972;52210;38613;2769;42001;0;11772;17016;7485;6780;0;2721;30;147681;141255;585;546;0;5295;197697;65440;56775;51479;2176;6615;232;14980;0;0;128651;87645;40948;58;0;24448;0;901;0;12806;2703;2124;3194;2720;106241;93263;5593;1916;0;5050;0;419;0;240744;0;0;233813;1520;5411
2015;Schwyz;9249000;1271384;78449;2252;76196;101007;53786;10873;7310;19322;4149;5567;207406;31821;33116;48073;35414;2453;45079;0;11450;12807;3687;6038;96;2958;27;155337;149161;614;351;0;5211;200002;62184;57900;53016;2223;6824;208;17646;0;0;121499;81784;39656;59;0;26911;0;1311;0;14696;2861;2034;3126;2883;103483;91190;5653;1923;0;4422;0;295;0;264484;0;0;259529;1269;3686
2016;Schwyz;9416000;1265961;60611;2260;58351;97606;52392;11528;7072;17622;5285;3707;210548;32282;32798;41818;35350;10116;47022;270;10892;15897;5077;7798;39;2980;4;165699;155893;873;485;0;8448;219445;66985;60989;49231;4642;5948;103;31548;0;0;128913;85755;43099;59;0;25991;419;1166;0;12332;3165;3343;2668;2898;103990;90092;5976;2112;0;5061;0;749;0;237261;1166;0;229304;1088;5704
2017;Schwyz;9578000;1264166;60411;2170;58241;98188;53731;11186;6777;17297;5315;3882;219707;32398;32615;42488;37331;11885;51458;271;11261;15992;5894;6879;50;3165;4;172967;162645;871;467;0;8984;232943;72833;63358;52651;5017;6232;103;32750;0;0;119600;76886;42658;56;0;21931;122;411;0;8525;3293;3821;2659;3100;99758;86497;5277;1806;0;5816;0;342;20;222669;1347;0;216669;1624;3030
2018;Schwyz;9834000;1315564;60491;2137;58354;101787;57253;11234;6662;17411;5787;3439;218795;32473;33600;41863;38373;11001;50049;271;11165;14782;5061;6515;47;3155;4;175030;165413;811;588;0;8219;253422;78700;66997;56812;4602;6291;87;39934;0;0;119269;76193;43029;47;0;23980;120;385;0;9561;3689;4403;2638;3185;101879;89090;6115;1921;0;4514;0;240;0;246130;1798;0;239784;1034;3515
2019;Schwyz;10082000;1313742;62211;2202;60009;101179;55419;11513;7261;17743;6085;3158;219576;35388;33177;43118;35246;9747;51538;271;11092;13929;4615;6098;77;3135;4;176253;166179;883;680;0;8511;246436;74230;68943;58620;4953;6342;71;33278;0;0;115624;69610;45967;47;0;22988;65;524;0;10989;3806;1778;2510;3314;107483;89981;6648;2132;0;5805;0;2918;0;248064;1289;0;242427;1149;3199
2020;Schwyz;0;1389831;65666;2230;63436;101183;54437;12370;7252;18406;5387;3332;222936;35267;36358;42573;34169;9772;53083;271;11443;17949;6110;9116;9;2711;4;201475;188875;781;2432;0;9388;245011;72305;70326;59245;5897;6560;28;30650;0;0;115720;64637;51036;47;0;22049;28;864;0;9070;3980;2216;2566;3325;113162;89363;6481;1918;0;13137;0;2262;0;284680;1765;0;266953;13005;2957
1990;Solothurn;0;912276;70190;3007;67183;115375;46023;17199;12164;23937;413;15639;242797;78334;13345;62260;54460;9324;19986;0;5087;21124;7509;4831;113;2678;5993;149506;141037;73;5924;0;2472;116970;910;26609;54614;8297;2501;819;23100;0;120;55183;41060;14005;118;0;28790;286;8206;10157;1340;683;0;2844;5273;55708;36252;8386;470;30;541;10000;29;0;56632;2723;0;22190;283;31437
