Year,Total expenditure,General administration,Executive and legislative organs,General services,International relations,R&D general services,"Public order and security, defense",Public security,Administration of justice,Prison system,General legal issues,Fire protection services,Defense,"R&D public order and security, defense",Education,Obligatory schooling,Special schools,Basic vocational training,General education schools,Post-secondary vocational education,Tertiary-level institutions,Research,Other education,"Culture, sport and leisure, church",Cultural heritage,Other culture,Media,Sporting and recreational services,Churches and religious services,"R&D culture, sport and leisure, church",Health,"Hospital, convalescent and nursing home services",Outpatient care,Preventive healthcare,R&D health,Health n.e.c.,Social security,Sickness and accident,Disability,Old age and survivors,Family and young people,Unemployment,Subsidized housing,Social welfare and asylum affairs,R&D social welfare,Social welfare n.e.c.,Transportation and telecommunications,Road transportation,Public transportation,Other transportation,Telecommunications,R&D transportation and telecommunications,Protection of the environment and spatial planning,Water supply,Sewage disposal,Waste management,Control structures,Protection of biodiversity and landscape,Anti-pollution,Other environmental protection,R&D environmental protection,Spatial planning,National economy,Agriculture,Forestry,Hunting and fishing,Tourism,"Industry, commerce and trade",Banks and insurance companies,Fuel and energy,R&D national economy,Other commercial operations,Finances and taxes,Taxes,Tax agreements,Fiscal equalization and cost compensation,Revenue shares in federal receipts without appropriation,Other revenue shares without appropriation,Asset and debt management,Redistribution,Undivided items,Canton
1994,2406360,124293,3757,120536,,,202564,90134,43128,30058,14562,1479,23204,,507701,139471,13846,91512,77198,53363,122263,,10047,36824,3224,8872,,7229,17498,,558579,508789,3687,27897,,18206,339937,2655,74321,150149,7337,56207,2048,46246,,974,183624,164915,18685,24,,,61348,2193,16078,14166,13874,3566,,7457,,4014,177312,142916,24343,6033,1799,542,,372,,1307,214179,,187,31819,,139464,42709,,,St_Gallen
1995,2445866,123768,4179,119589,,,205975,92093,44377,31307,15439,1422,21336,,527747,144396,13975,89757,84662,62483,123996,,8479,32277,3039,5695,,6040,17503,,565597,516717,3957,29053,,15870,328463,23515,75228,152698,8329,14925,2277,50746,,745,181161,156230,24539,392,,,59388,2220,16761,13242,11936,3187,,8098,,3943,210847,146185,21265,3083,2706,1139,35000,456,,1013,210646,,,23072,,141504,46070,,,St_Gallen
1996,2668542,156824,4542,152282,,,222521,101106,50328,28509,20046,1553,20978,,546628,154399,15061,96874,84794,72922,113975,,8603,43416,3895,15927,60,6139,17395,,590266,537939,4082,30913,,17331,434505,70877,96630,128123,14377,67013,2182,54591,,712,199871,168669,30808,395,,,61029,230,13559,12577,8855,3987,,15281,,6541,211321,184556,19203,2820,2233,608,,700,,1200,202159,,,25634,,130156,46370,,,St_Gallen
1997,2937592,177348,5202,172146,,,222010,104681,44194,35756,18585,1258,17538,,579170,164775,12179,91733,85482,94884,116955,,13163,43641,3722,17490,,6857,15573,,584530,542375,2158,12158,,27839,563470,100069,115764,129949,15248,140558,1,61178,,702,207718,171370,36165,184,,,60579,1414,13202,7001,11448,4395,,16564,,6555,275592,187448,21004,2722,1167,1852,50000,9276,,2121,223533,14108,,30184,,126058,53183,,,St_Gallen
1998,3011146,186325,5310,181014,,,221201,109424,43481,33952,17537,1414,15392,,580386,166025,16404,88081,105547,102993,89487,,11849,42927,3475,17008,,4304,18140,,616172,569146,2537,16852,,27637,570135,96362,127463,146917,13525,119678,1,65521,,667,242040,206164,35675,201,,,56707,1018,15542,4775,8168,4207,,15808,,7188,208521,176200,18360,2847,1438,2793,,5191,,1693,286732,14415,,38009,,177517,56792,,,St_Gallen
1999,3101752,157272,4742,152529,,,233145,103109,47254,42787,26451,1420,12124,,608480,160868,15584,88950,99826,136426,94309,,12517,46269,4673,16500,,5025,20071,,645340,586413,2457,25763,,30706,506207,99888,126931,141719,14735,40548,2,81173,,1210,319133,281710,37112,311,,,59237,1092,13796,5066,13047,4402,,15599,,6235,224751,181831,19903,2600,1550,11718,,5560,,1589,301919,16495,,43934,,185686,55804,,,St_Gallen
2000,3417608,141056,5246,135810,,,247497,108468,57211,43360,25429,1420,11608,,629054,165258,14496,91068,103980,4949,235683,,13620,57670,2947,26837,15,5210,22660,,658250,609145,2528,15003,,31573,506362,101265,141382,146249,15098,26553,,75043,,774,306839,270198,36323,318,,,59427,1577,15255,2570,11382,6152,,15614,,6877,487289,194119,22270,2551,1516,3007,255000,7021,,1804,324163,11596,,53156,,204895,54515,,,St_Gallen
2001,3381268,147821,4508,143313,,,253676,109874,61369,40473,29197,1479,11285,,694638,171845,16266,148285,108603,739,237099,,11802,54961,2654,20225,,5240,26843,,719717,667634,2739,14644,,34700,535483,121923,163015,164429,14537,25717,,44331,,1532,328320,284160,43874,287,,,68931,1177,22205,5809,10595,4968,,16128,,8049,232368,202466,21269,2861,1390,1468,,951,,1963,345352,10948,,56234,,227278,50892,,,St_Gallen
2002,3566608,146147,5181,140966,,,277523,117005,69043,47094,30910,1479,11992,,844868,176217,13482,250514,128086,485,261794,,14290,53053,5198,20312,,6382,21161,,770460,718043,3317,13658,,35442,567080,125109,174438,177363,14801,27302,,46810,,1257,325367,278417,46769,182,,,74292,1067,21435,6456,13245,6910,,16769,,8410,243861,214815,18468,3059,1635,1922,,2073,,1888,263957,9129,,57525,,151479,45824,,,St_Gallen
2003,3608041,158714,5407,153308,,,281677,121286,75226,44200,28758,1500,10706,,834915,182902,13400,207604,132088,177,282214,,16531,51530,4022,21207,,6046,20255,,841315,789310,2948,14919,,34138,594057,117996,191419,178677,16539,38312,,50594,,520,280686,237105,43189,392,,,65452,1027,20153,1050,11785,6279,,16882,,8275,240016,211482,18886,3021,2235,2225,,762,,1405,259680,8919,,60848,,145832,44081,,,St_Gallen
2004,3702594,153051,5612,147439,,,276647,114865,78141,44917,26927,1500,10297,,870118,184116,37604,211169,136804,,283145,,17280,54131,3828,20573,,9473,20256,,835326,784470,3298,14905,,32654,645654,135924,204805,186406,18821,45263,,53937,,498,317266,261894,55125,247,,,79581,1305,24401,5346,17262,6385,,15171,,9710,235637,210512,15933,2407,1800,2622,,39,,2323,235184,12579,,36226,,147275,39104,,,St_Gallen
2005,3744007,158994,5464,153530,,,284170,115100,77882,52459,28079,1500,9151,,853678,187224,37760,218063,102481,73,291799,,16276,72946,4724,22057,,22360,23806,,864691,812168,3061,14827,,34636,657325,147574,203551,168648,17940,49668,,69376,,567,294524,237927,56247,350,,,71985,1117,21875,1607,15156,7570,,15332,,9328,241477,211973,15876,2499,1913,2641,5027,34,,1515,244217,11446,,27539,,166338,38893,,,St_Gallen
2006,3890516,163912,5329,158583,,,286828,120424,79339,48167,27257,1500,10142,,896529,189203,50036,223087,100927,54,320218,,13005,71997,6315,25896,,11003,28782,,920089,866432,3708,15817,,34132,663033,138202,205436,173282,22477,53636,,69480,,520,273572,215127,58175,269,,,61394,1226,10541,1010,15740,7487,,15302,,10089,258445,208363,16834,2498,2239,2774,24218,34,,1485,294717,13959,,32099,,211135,37523,,,St_Gallen
2007,4067927,178043,6147,171896,,,296696,130720,81874,45027,27549,1556,9970,,943630,187421,48145,217652,102101,123,374292,,13896,75180,5248,32322,,7897,29712,,976304,921813,3745,17216,,33530,695329,144438,233917,178168,22088,48230,,67982,,506,274512,209120,65141,251,,,61491,2031,3235,1367,20285,8426,,15664,,10482,243661,217804,16209,2940,2743,2280,,64,,1621,323082,11811,,27147,,248886,35239,,,St_Gallen
2008,3661955,228622,6605,222017,,,298868,136741,83691,48465,21094,,8877,,879853,21924,128605,221779,101629,22296,267317,83493,32810,79205,8474,35476,,8709,26546,,457611,419015,6866,18304,,13427,619044,145878,239746,134172,21251,25379,,52070,,549,247121,168187,78725,209,,,60842,1483,2362,80,17123,16508,,13722,,9564,245510,210247,15678,2249,2810,7463,,5234,,1830,545280,8892,,256403,,251370,28614,,,St_Gallen
2009,3780802,219555,5877,213679,,,321631,145524,89571,56779,19875,,9882,,901550,22563,125479,230244,107823,17173,290470,73067,34731,76307,7259,34524,,10338,24185,,496766,452381,8724,24625,,11036,662022,165286,244678,149071,17820,31163,,53572,,430,234950,147620,87101,228,,,77717,2268,6087,3652,21460,18958,7573,6828,,10891,267743,223105,20345,3975,2929,11856,,3636,,1897,522561,10728,,248565,,239064,24204,,,St_Gallen
2010,3938529,231869,6115,225754,,,343081,156857,95386,62013,18966,,9859,,932724,25322,119728,236279,112625,17549,314347,74446,32428,87024,6736,47978,,8826,23485,,510741,469284,5387,24862,,11209,704516,183733,250461,158542,19239,32435,,59631,,475,236256,140075,95916,265,,,64318,2052,3583,4284,18070,15407,2569,7032,,11321,267118,223033,19643,2683,3060,9237,,7239,,2224,560881,12626,,247933,,277263,23058,,,St_Gallen
2011,4093435,260114,5562,254553,,,349583,155956,96833,65993,20447,,10354,,932595,24724,116070,223514,113273,20240,320209,76724,37841,88819,9024,40983,,16336,22477,,564269,518680,5356,24707,,15526,736354,209834,262319,149184,20016,31945,,62521,,536,256718,153135,103330,253,,,64273,2452,3368,3606,20735,6064,11493,7130,,9424,277896,229885,22277,3356,2711,8876,,7580,,3212,562814,10075,,240341,,288927,23471,,,St_Gallen
2012,4191728,251982,5577,246405,,,357747,166701,100468,64529,16539,,9510,,963767,24590,116907,218711,123485,22113,342332,78826,36802,86413,7261,41773,,12785,24594,,603980,561854,5185,24639,,12301,764226,210054,273034,154749,18020,34517,,73392,,460,254244,150709,103259,275,,,64799,1998,4103,4095,16106,5954,10991,11584,,9969,291457,226674,22918,3007,2495,26613,,7725,,2027,553114,10722,,238224,,280983,23185,,,St_Gallen
2013,4128734,219247,5179,214068,,,346742,151176,97444,65481,22197,,10443,,949149,24791,114309,224576,120533,22493,325925,78600,37921,86280,6080,42861,,11144,26196,,614722,575748,5102,21499,,12372,774339,206292,285077,157232,17483,33571,,74130,,555,262593,162002,100287,305,,,63416,1307,3734,3736,18259,4310,13050,10295,,8725,271661,226252,22025,3260,3003,10657,,3943,,2521,540585,7867,,217651,,289623,25444,,,St_Gallen
2014,4459846,535052,5307,529745,,,348250,153998,97573,63154,23586,,9940,,945518,22456,117748,215687,112561,23933,331502,81248,40383,78330,9203,35647,,7762,25718,,617891,577866,4602,23594,,11828,760915,192960,277261,162091,15201,33700,,79103,,600,265583,157482,107843,258,,,70095,3634,4290,5401,20262,3886,15209,7347,,10065,263002,217032,21614,4168,2666,8891,,6058,,2573,575211,8635,,238899,,296655,31022,,,St_Gallen
2015,4289611,197418,5347,192071,,,362423,159099,97555,67640,25762,,12368,,971188,21975,124743,228980,105360,27134,338958,86087,37952,83346,8863,39546,,7476,27462,,701170,660595,4391,23707,,12478,793085,204230,271941,169974,16284,34679,,95353,,624,280648,173036,107353,259,,,70298,1599,4297,4217,21035,12295,8392,8087,,10378,244839,197933,21056,4621,3146,7780,,7613,,2689,585195,10619,,230145,,314085,30346,,,St_Gallen
2016,4382121,199473,5602,193870,,,363282,156103,98578,73814,23982,,10805,,938490,21526,127537,214125,104245,29466,325700,78836,37055,84947,12102,36799,,8067,27979,,718587,676232,4793,25488,,12074,854197,213902,292220,177399,15322,36234,,118687,,433,304966,181070,123641,255,,,73364,1407,3767,4154,18266,18738,8479,8141,,10410,256090,197328,23082,10110,2861,9443,,11333,,1934,588727,9198,,229970,,318022,31536,,,St_Gallen
2017,4957202,204565,5633,198932,,,367781,160826,100367,71746,24036,,10805,,951633,22884,123480,210649,103000,31824,341948,81079,36770,84994,8227,38316,,8107,30345,,1185865,1138443,9539,24997,,12885,877077,237646,309163,182885,16119,35993,,94752,,519,308800,181647,126920,233,,,87202,1709,6988,4739,27865,20480,5947,8589,,10885,268455,198163,25444,8278,2689,7916,,23988,,1978,620830,9457,,228235,,352338,30800,,,St_Gallen
2018,4793324,349575,5959,343616,,,387188,167733,108605,72673,27193,,10984,,976016,24062,124640,210197,103953,39863,348944,85239,39119,92364,9491,42053,,7196,33624,,823605,781977,4913,29236,,7478,865082,244307,288499,190785,16239,36772,,87957,,522,312505,181753,130495,256,,,86316,1698,10202,3546,25713,22238,5281,11162,,6474,268061,196080,22144,4005,2996,8963,,31551,,2321,632611,12013,,229066,,369352,22180,,,St_Gallen
2019,4952413,222880,5635,217245,,,398617,174583,105775,78125,29735,,10399,,999630,24857,126320,221888,105263,27823,367704,85538,40236,99568,7536,44247,,10970,36815,,844550,799602,5100,29797,,10052,891732,250755,290215,199271,15670,34565,,100608,,648,351075,219498,131320,257,,,87577,1106,11696,3711,25763,22700,4358,12163,,6080,403871,195483,24649,4214,2385,17812,127334,30062,,1932,652912,10500,,233727,,387611,21075,,,St_Gallen
2020,4835573,233445,6794,226651,,,404483,178833,109781,71646,32704,,11519,,1006274,27450,128446,212932,107015,27999,382480,78893,41059,118382,8013,66279,,9719,34371,,816160,761468,6166,40018,,8508,906258,245147,297911,210233,18358,36190,,97880,,540,345774,209903,135614,257,,,81212,1560,8299,3745,24099,22588,4452,11790,,4679,273089,196350,22630,4356,3681,7525,,36405,,2144,650497,14393,,235120,,386670,14313,,,St_Gallen
1990,1137486,50903,2567,48336,,,95137,49232,9813,11345,10248,215,14285,,168554,60760,4994,37536,38644,5840,18277,,2503,34648,14676,9294,,3780,6897,,106352,99980,1165,2324,,2884,76639,7787,14338,30236,1525,1796,5901,14945,,112,258053,250498,7554,,,,68215,5142,17641,2766,35733,774,,3499,,2660,242762,140727,88219,6439,4433,1093,,1851,,,36223,796,773,14736,,608,19310,,,Graubuenden
1991,1262343,56683,2721,53962,,,107262,55580,11103,13455,12979,215,13930,,177920,61695,4394,44554,38002,6557,19683,,3036,31049,13540,12811,5,4680,13,,125278,117969,1490,2808,,3011,89384,11402,18317,30910,1884,1855,6025,18830,,161,297818,279766,18052,,,,61057,5237,21583,4926,23502,1344,,2058,,2408,275146,167995,66037,7259,4730,2077,,27048,,,40744,538,13,15826,,837,23530,,,Graubuenden
1992,1307996,62301,3011,59290,,,113127,59190,13105,15790,12829,120,12092,,198699,49243,5155,56035,47293,14701,22576,,3696,32006,13897,13310,22,4778,,,132126,124345,2332,2599,,2850,95935,9525,20427,35525,2022,2124,5972,20204,,135,312132,287168,24964,,,,59192,4333,25857,2160,19531,1268,,2210,,3832,254631,157666,50986,7563,6293,2491,,29631,,,47847,2192,763,19392,,1234,24265,,,Graubuenden
1993,1421082,60660,2905,57756,,,118912,66502,13797,13644,12764,158,12047,,214780,52659,6447,59651,48823,20093,23337,,3769,30191,14241,11157,20,4774,,,143223,133172,4242,2335,,3474,117502,9930,22036,38070,1990,18146,6276,20790,,265,324839,295594,29244,,,,53875,5804,17632,1485,21179,1803,,2110,,3862,306067,178684,61565,7516,6839,3037,20000,28426,,,51032,3614,248,22487,,1039,23645,,,Graubuenden
1994,1392154,63155,3160,59995,,,131782,76373,13071,14388,13595,100,14255,,209942,54888,5995,53003,50266,16679,24910,,4200,29200,12566,11468,20,5146,,,144970,133371,4997,2700,,3901,113865,7779,25270,38807,1917,12401,7078,20443,,168,313562,289965,23597,,,,55819,5974,19398,1904,21041,1472,,1947,,4083,281098,173897,56189,7981,6703,2986,,33342,,,48762,1913,490,22305,,976,23079,,,Graubuenden
1995,1423820,65144,3075,62069,,,131145,74067,14129,17412,14230,100,11207,,230939,64262,6955,56079,51291,21495,26786,,4071,30765,14747,11637,,4381,,,139210,128657,5103,2586,,2865,130086,25120,25060,41306,2134,4142,6585,25609,,130,300461,274205,26256,,,,48631,5219,16609,1737,15985,2296,,2769,,4015,302107,184643,44016,7444,6550,2667,20000,36787,,,45332,3155,71,22820,,931,18355,,,Graubuenden
1996,1487040,74435,3007,71429,,,131467,71638,14953,18195,16258,50,10374,,241124,62019,6485,68718,53190,19373,27107,,4233,27649,13601,10416,,3632,,,136814,125559,5463,2822,,2971,159471,35421,24954,42655,2016,17013,7114,30169,,130,315910,286709,29201,,,,55454,4633,15857,5969,16275,3425,,5109,,4187,301159,204437,43542,8052,7585,2949,,34595,,,43556,2784,472,21141,,1315,17845,,,Graubuenden
1997,1573301,70569,3207,67362,,,125149,70047,15269,16021,14385,,9427,,249131,70076,7438,66188,53970,19333,27878,,4249,32265,13946,13090,,5229,,,162703,150970,5746,3094,,2893,196062,46033,27340,44112,2671,38862,6835,30078,,130,320267,290736,29531,,,,55576,4540,15568,5969,16178,2777,,6013,,4531,321601,221299,46552,8006,6778,3795,,35171,,,39979,3231,181,19005,,1293,16268,,,Graubuenden
1998,1778998,68664,2796,65869,,,128970,70331,15926,16098,17733,,8882,,246196,62319,7205,66635,70395,19838,15450,,4353,32450,14297,14484,,3663,7,,176981,164379,4858,3202,,4542,205847,50398,28920,48584,1786,39641,5698,30689,,130,522446,306855,215591,,,,56483,4018,15335,4796,16482,3752,,6438,,5662,300570,203465,45717,7916,6607,4246,,32617,,,40391,3651,353,19429,,1315,15642,,,Graubuenden
1999,1770590,72082,3154,68929,,,126048,70251,15088,16767,17029,,6912,,249809,58710,8329,69493,72438,20671,16516,,3651,31014,13360,14496,,3158,,,168608,157116,3144,4109,,4239,188755,51553,29726,52922,2074,10287,4396,37697,,100,522982,333959,189023,,,,52390,3965,14242,4885,15188,2659,,5316,,6136,318951,212974,47107,7760,7035,3681,,40392,,,39951,4246,,19274,,1241,15190,,,Graubuenden
2000,1761762,72737,3832,68905,,,126562,68498,14507,17049,16280,,10228,,245105,60952,8406,66236,68142,49,38118,,3201,31055,13205,14418,,3433,,,162068,150182,3766,4306,,3814,186134,44387,42082,54096,2049,9701,3875,29844,,100,524786,304269,220518,,,,54225,4016,15226,5041,14817,2628,,6028,,6470,315736,215021,43242,7700,6978,4085,,38710,,,43353,3309,,19293,,1271,19480,,,Graubuenden
2001,1790596,74573,3378,71195,,,126144,75550,15445,17461,12481,,5206,,255348,62870,9728,69728,70158,,41596,,1267,31779,13233,14996,,3549,,,162214,149423,4292,4771,,3728,193010,42016,58080,48647,2145,8519,4247,29257,,100,516092,317782,198310,,,,54653,4028,15257,4202,16502,2443,,6102,,6120,331431,229992,45049,8093,8530,3685,,36082,,,45352,2595,,20801,,1332,20623,,,Graubuenden
2002,1941440,88436,3722,84714,,,127982,73490,16593,19388,13173,,5338,,277316,60796,15670,76712,71751,,51066,,1322,32844,14809,14791,23,3221,,,189577,176268,4804,4695,,3810,227528,63148,60579,56839,1692,8161,5377,31634,,100,554938,344679,209121,1138,,,61321,4854,16177,4003,21849,2805,,5257,,6377,336737,231700,44830,8013,8845,6313,,37036,,,44760,3727,,20996,,1099,18938,,,Graubuenden
2003,2039936,88100,4140,83960,,,138190,84024,16538,20045,12479,,5104,,299940,60897,12349,81207,70348,,73744,,1395,35011,14236,17373,18,3383,1,,212645,198534,5220,4984,,3908,246469,62635,72370,61257,2158,9550,5334,33075,,90,560024,334503,225521,,,,64656,5298,15249,2245,26930,2988,,6378,,5568,346473,246928,45508,7827,6976,7523,,31710,,,48427,3553,,21014,,1411,22448,,,Graubuenden
2004,2042804,87694,4544,83150,,,131363,77565,16865,19865,11223,,5846,,297859,56882,16437,76585,63283,,81160,,3512,32681,14934,13124,55,4563,4,,206400,193234,4165,5307,,3695,252324,63667,68874,62699,2006,11938,5435,37615,,90,591579,348089,243490,,,,57292,5105,21031,2663,14267,3490,,4888,,5848,335591,234125,51169,8072,5549,5209,,31467,,,50021,3319,,22300,,1519,22883,,,Graubuenden
2005,2044829,96479,4422,92057,,,135974,81518,16790,19960,12561,,5144,,302678,55546,16082,76480,62163,,88892,,3514,29159,13813,11399,210,3735,2,,218313,206746,3674,4356,,3537,241046,63499,63208,56969,2066,13829,4565,36739,,170,598233,337372,260861,,,,48142,5147,10222,3113,16379,3523,,4598,,5159,314595,224864,37663,8027,5869,5779,,32393,,,60211,3662,,25689,,1578,29282,,,Graubuenden
2006,2063303,94605,4803,89802,,,127986,79064,16880,16377,10289,,5376,,329380,57109,18763,79743,65658,,104861,,3246,31848,13393,13139,12,5275,30,,193695,180814,3757,4076,,5047,254790,67442,67584,63175,2368,14753,4075,35174,,220,595974,346043,249931,,,,45546,6396,6605,1963,15611,5720,,4403,,4847,340336,225676,50792,7800,6383,18732,,30952,,,49143,3976,,23530,,1583,20053,,,Graubuenden
2007,2140601,98944,5017,93927,,,129735,81485,17469,18353,7042,,5385,,363888,55500,20899,87310,76568,,120425,,3185,30311,13055,13221,37,3981,17,,197791,181182,8684,5639,,2286,262424,62074,93506,55398,2218,14558,1334,33187,,150,593169,310795,282374,,,,47838,6271,9883,2119,13329,7061,,4370,,4806,361328,225078,48977,8163,25422,22960,,30728,,,55172,3351,,30956,,1296,19570,,,Graubuenden
2008,2138076,119910,4678,115231,,,126513,77802,23104,10260,10899,,4448,,385677,54212,35739,89630,75248,,126956,,3890,38572,16124,17367,37,5044,,,166528,150384,7508,5348,,3288,228782,64394,69394,50148,3237,10458,2393,28569,,190,613354,347012,266189,153,,,67851,5801,7820,779,37065,5797,,5004,,5586,321162,224898,23437,8799,11196,11464,,41368,,,69726,3885,,47904,,441,17496,,,Graubuenden
2009,2171277,115929,4849,111079,,,133360,80958,25066,10579,11922,100,4736,,368443,54916,39798,74549,76948,1072,117073,,4086,37964,13188,18151,71,6554,,,174359,155741,8473,6223,,3922,247898,75912,67488,55379,3976,10896,1988,32069,,190,605498,331554,273364,580,,,79060,6231,6745,1397,45515,7324,,5560,,6288,343266,237074,30418,8354,13487,13610,,40322,,,65501,9562,,42711,,438,12789,,,Graubuenden
2010,2264251,114612,4754,109858,,,144603,86117,26929,10994,11999,100,8464,,392400,56404,42134,85231,74190,1121,128878,,4442,37085,13377,18411,15,5282,,,190519,173209,8126,5872,,3312,285232,89634,69504,65152,9575,15390,2677,33095,,205,609687,344240,265295,152,,,79623,5224,7336,2556,36132,16583,15,5845,,5932,362771,252570,31783,8608,19736,13334,,36739,,,47719,4608,,32210,,432,10469,,,Graubuenden
2011,2278927,115286,5192,110094,,,157266,90417,35149,10800,10128,,10773,,385102,58356,42170,81765,67859,1093,129475,,4384,36565,13063,18658,,4844,,,202359,177252,8297,5737,7787,3285,304473,96370,72227,74731,10068,16686,1454,32752,,185,598716,320952,276980,784,,,89711,5082,6124,1900,38300,18729,7396,6146,,6033,344518,232490,31377,8552,20043,13119,,38936,,,44930,3066,,32916,,405,8543,,,Graubuenden
2012,2479128,126372,5382,120989,,,167753,94217,35940,12057,11512,,14027,,391869,58745,43333,84011,64641,1059,135754,,4324,34903,12405,17263,,5235,,,237766,214436,8529,5630,5434,3735,324948,105662,78632,73415,8100,17069,1378,40505,,185,605759,316698,288101,960,,,90442,5196,6723,938,39581,19702,6241,6329,,5732,431586,231688,32762,8652,17318,14412,,126753,,,67732,3667,,57828,,388,5849,,,Graubuenden
2013,2396494,121504,4105,117179,219,,162585,90369,28229,16597,17879,,9511,,390769,65299,41888,88048,57551,13372,111738,,12872,37251,15284,15974,230,5761,2,,254918,223432,13371,5692,5557,6866,316832,103829,82195,67462,9014,14399,1282,38522,,130,637996,317024,312796,8175,,,89947,5054,2620,1103,38922,22813,10230,4090,,5114,334205,229397,29506,8244,15907,14438,,36712,,,50487,3983,,43067,,376,3061,,,Graubuenden
2014,2457669,126287,4278,121808,201,,164915,95097,28579,17101,18637,,5500,,392740,72446,41259,80784,56097,13065,116352,,12737,44219,21010,17000,501,5698,10,,244929,211507,14419,6390,5744,6869,316426,98203,82063,68724,9374,14687,1195,42050,,130,656076,319196,336565,315,,,83409,6205,2729,1291,38508,15577,10234,4106,,4757,369740,265123,30365,8133,13444,16375,,36299,,,58928,3887,,52043,,353,2646,,,Graubuenden
2015,2501492,131508,4408,126908,192,,168363,95355,29134,18483,18337,,7055,,401520,71493,42880,82548,59449,12941,119674,,12536,51965,29924,15827,453,5758,3,,251494,217126,14478,7046,6129,6714,321730,97370,82494,63443,9779,15129,1258,52126,,130,671390,306801,364208,381,,,87391,5648,4584,1268,40388,17993,8108,4269,,5133,366332,262329,29083,8182,20712,12794,,33232,,,49798,4330,,42617,,349,2502,,,Graubuenden
2016,2349751,127911,4078,123648,185,,178294,96064,30853,25415,19253,,6709,,382654,50988,44118,81376,58320,12545,122418,,12888,43592,21506,15233,611,6222,20,,263579,227980,14333,8048,6260,6958,330560,100942,87329,63780,10169,15154,1379,51678,,130,479108,305847,173101,160,,,83141,3907,2562,1457,39096,19442,7724,4101,,4854,387997,264437,32658,8241,19379,28786,,34496,,,72915,3850,,65079,,349,3638,,,Graubuenden
2017,2400632,130250,3823,126211,216,,199381,95404,34844,43801,19153,,6179,,392877,52482,42549,82535,63820,12369,126151,,12970,38038,15400,16188,456,5995,,,256953,219614,15507,8009,6394,7430,338577,109428,87152,65322,10013,14816,1299,50380,,167,482981,312121,170682,178,,,91733,3036,791,1498,47875,19237,10385,3866,,5045,379361,267361,34441,8664,20063,17165,,31631,,37,90482,3536,,80465,,347,6135,,,Graubuenden
